day,temperature
0.00273,0.1
0.00546,-4.5
0.0082,-6.3
0.01093,-9.6
0.01366,-9.9
0.01639,-17.1
0.01913,-11.6
0.02186,-6.2
0.02459,-6.4
0.02732,-0.5
0.03005,0.5
0.03279,-2.4
0.03552,-7.5
0.03825,-16.8
0.04098,-16.6
0.04372,-14.6
0.04645,-9.6
0.04918,-5.8
0.05191,-8.6
0.05464,-9.0
0.05738,-9.7
0.06011,-6.9
0.06284,-3.9
0.06557,1.4
0.06831,1.9
0.07104,4.3
0.07377,6.9
0.0765,4.3
0.07923,5.9
0.08197,3.8
0.0847,1.5
0.08743,0.1
0.09016,4.6
0.0929,0.8
0.09563,-0.5
0.09836,-1.0
0.10109,4.2
0.10383,6.6
0.10656,4.8
0.10929,4.7
0.11202,1.3
0.11475,0.9
0.11749,-2.8
0.12022,-3.3
0.12295,-5.3
0.12568,-6.8
0.12842,-5.1
0.13115,-2.6
0.13388,-0.5
0.13661,-0.5
0.13934,0.1
0.14208,1.7
0.14481,2.4
0.14754,-0.9
0.15027,-1.3
0.15301,-1.4
0.15574,-0.1
0.15847,-0.7
0.1612,-2.6
0.16393,-4.1
0.16667,-2.7
0.1694,0.7
0.17213,2.0
0.17486,1.7
0.1776,0.9
0.18033,0.3
0.18306,0.9
0.18579,1.1
0.18852,0.1
0.19126,-0.9
0.19399,0.2
0.19672,0.1
0.19945,1.0
0.20219,3.4
0.20492,5.2
0.20765,4.9
0.21038,4.9
0.21311,2.2
0.21585,2.9
0.21858,5.3
0.22131,3.7
0.22404,3.4
0.22678,2.1
0.22951,1.8
0.23224,4.3
0.23497,7.0
0.2377,7.7
0.24044,6.2
0.24317,7.5
0.2459,4.9
0.24863,4.4
0.25137,3.8
0.2541,6.4
0.25683,8.0
0.25956,7.9
0.2623,8.9
0.26503,6.6
0.26776,6.5
0.27049,5.8
0.27322,5.6
0.27596,4.7
0.27869,5.5
0.28142,5.5
0.28415,5.8
0.28689,5.3
0.28962,6.9
0.29235,5.9
0.29508,6.1
0.29781,6.6
0.30055,6.7
0.30328,6.5
0.30601,7.0
0.30874,5.8
0.31148,3.0
0.31421,2.5
0.31694,2.4
0.31967,4.3
0.3224,2.8
0.32514,3.6
0.32787,6.8
0.3306,9.1
0.33333,8.4
0.33607,9.3
0.3388,13.3
0.34153,10.6
0.34426,10.5
0.34699,11.8
0.34973,14.7
0.35246,16.2
0.35519,16.4
0.35792,16.9
0.36066,12.3
0.36339,10.2
0.36612,11.2
0.36885,6.1
0.37158,6.4
0.37432,6.1
0.37705,10.4
0.37978,10.3
0.38251,11.9
0.38525,12.9
0.38798,12.5
0.39071,17.5
0.39344,19.9
0.39617,19.3
0.39891,11.4
0.40164,9.7
0.40437,10.7
0.4071,13.0
0.40984,12.4
0.41257,16.3
0.4153,19.2
0.41803,19.2
0.42077,19.8
0.4235,19.5
0.42623,16.6
0.42896,13.0
0.43169,12.6
0.43443,17.6
0.43716,13.7
0.43989,11.3
0.44262,10.2
0.44536,10.2
0.44809,11.6
0.45082,14.2
0.45355,14.4
0.45628,17.4
0.45902,13.1
0.46175,17.4
0.46448,15.9
0.46721,15.9
0.46995,15.5
0.47268,16.4
0.47541,16.7
0.47814,18.2
0.48087,20.9
0.48361,22.2
0.48634,19.1
0.48907,16.3
0.4918,16.6
0.49454,15.1
0.49727,14.5
0.5,17.4
0.50273,16.5
0.50546,13.7
0.5082,14.0
0.51093,14.2
0.51366,15.6
0.51639,15.7
0.51913,15.6
0.52186,16.2
0.52459,16.3
0.52732,18.3
0.53005,16.6
0.53279,16.1
0.53552,15.9
0.53825,16.0
0.54098,15.9
0.54372,16.0
0.54645,15.7
0.54918,17.2
0.55191,19.9
0.55464,21.0
0.55738,19.4
0.56011,20.4
0.56284,23.1
0.56557,23.0
0.56831,19.9
0.57104,17.6
0.57377,18.8
0.5765,17.8
0.57923,18.6
0.58197,16.4
0.5847,15.2
0.58743,15.3
0.59016,16.0
0.5929,18.0
0.59563,17.7
0.59836,16.0
0.60109,16.4
0.60383,16.7
0.60656,14.3
0.60929,12.2
0.61202,10.0
0.61475,12.0
0.61749,16.2
0.62022,15.9
0.62295,14.5
0.62568,15.3
0.62842,13.3
0.63115,14.5
0.63388,15.5
0.63661,15.3
0.63934,17.3
0.64208,15.3
0.64481,16.4
0.64754,17.0
0.65027,20.2
0.65301,22.4
0.65574,18.1
0.65847,11.6
0.6612,14.6
0.66393,13.5
0.66667,17.9
0.6694,16.4
0.67213,15.5
0.67486,15.9
0.6776,14.1
0.68033,13.2
0.68306,14.5
0.68579,19.0
0.68852,18.3
0.69126,18.8
0.69399,16.8
0.69672,16.8
0.69945,14.3
0.70219,18.4
0.70492,18.3
0.70765,18.4
0.71038,14.9
0.71311,11.4
0.71585,12.6
0.71858,14.0
0.72131,14.8
0.72404,9.9
0.72678,11.4
0.72951,12.9
0.73224,12.1
0.73497,12.8
0.7377,13.5
0.74044,12.9
0.74317,14.0
0.7459,14.6
0.74863,12.0
0.75137,10.5
0.7541,9.5
0.75683,7.6
0.75956,6.4
0.7623,7.0
0.76503,8.1
0.76776,8.1
0.77049,7.6
0.77322,7.4
0.77596,7.2
0.77869,7.0
0.78142,6.4
0.78415,5.8
0.78689,5.5
0.78962,6.4
0.79235,7.3
0.79508,7.4
0.79781,7.8
0.80055,7.9
0.80328,6.9
0.80601,6.1
0.80874,3.7
0.81148,5.3
0.81421,6.1
0.81694,4.3
0.81967,3.3
0.8224,8.8
0.82514,9.8
0.82787,6.4
0.8306,4.6
0.83333,5.2
0.83607,5.5
0.8388,1.4
0.84153,0.5
0.84426,-2.6
0.84699,2.4
0.84973,-0.8
0.85246,-3.3
0.85519,-2.8
0.85792,-3.5
0.86066,-2.8
0.86339,-2.2
0.86612,-0.3
0.86885,0.0
0.87158,2.3
0.87432,4.9
0.87705,3.1
0.87978,3.6
0.88251,5.2
0.88525,3.8
0.88798,3.2
0.89071,7.7
0.89344,7.8
0.89617,6.9
0.89891,2.7
0.90164,2.8
0.90437,6.6
0.9071,1.9
0.90984,-1.4
0.91257,2.2
0.9153,1.9
0.91803,-1.3
0.92077,-1.6
0.9235,-3.2
0.92623,-2.7
0.92896,3.7
0.93169,-3.2
0.93443,-0.2
0.93716,9.3
0.93989,7.1
0.94262,3.2
0.94536,1.1
0.94809,-6.0
0.95082,1.7
0.95355,-1.3
0.95628,-2.2
0.95902,-1.2
0.96175,1.0
0.96448,1.7
0.96721,3.7
0.96995,4.7
0.97268,-0.3
0.97541,3.5
0.97814,3.4
0.98087,3.9
0.98361,4.5
0.98634,5.3
0.98907,2.7
0.9918,-0.4
0.99454,4.3
0.99727,7.0
1.0,9.3
